City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,lihue,21.9789,-159.3672,27.58,70,27,5.01,US,1682474392
179,neftegorsk,52.802,51.166,14.13,50,100,8.15,RU,1682474569
180,nicoya,10.1483,-85.452,27.77,72,6,1.09,CR,1682474569
181,ndelele,4.0333,14.9333,20.9,97,100,1.41,CM,1682474570
182,swift current,50.2834,-107.8014,12.45,62,75,4.12,CA,1682474373
183,coin,36.6595,-4.7564,19.11,37,2,2.2,ES,1682474570
184,fort bragg,35.139,-79.006,16.39,67,100,3.6,US,1682474489
185,ituiutaba,-18.9689,-49.465,22.55,70,43,1.6,BR,1682474507
186,lesnoy,57.6198,63.0784,11.48,58,100,2.13,RU,1682474570
187,zhezqazghan,47.7833,67.7667,8.32,57,0,4.0,KZ,1682474570
188,skovorodino,53.9833,123.9167,6.01,31,10,1.1,RU,1682474570
189,paredon,16.0333,-93.8667,28.22,67,93,1.75,MX,1682474571
190,ilulissat,69.2167,-51.1,0.01,100,100,4.12,GL,1682474451
191,qamdo,31.1667,97.2333,-1.29,78,97,2.15,CN,1682474489
192,sorong,-0.8833,131.25,29.14,72,26,2.6,ID,1682474512
193,qaqortoq,60.7167,-46.0333,0.61,94,96,0.22,GL,1682474441
194,dalby,-27.1833,151.2667,21.71,52,54,8.72,AU,1682474571
195,cozumel,20.5083,-86.9458,27.19,80,66,2.68,MX,1682474415
196,holualoa,19.6228,-155.9522,24.88,77,50,0.45,US,1682474391
197,dadeldhura,29.2984,80.5806,15.64,36,14,0.93,NP,1682474571
198,sinop,41.7711,34.8709,10.42,62,61,4.39,TR,1682474466
199,boyolangu,-8.1181,111.8935,28.39,74,29,1.73,ID,1682474571
200,cao bang,22.6667,106.25,23.65,56,85,0.93,VN,1682474559
201,badger,64.8,-147.5333,3.95,38,40,4.63,US,1682474456
202,nyala,12.05,24.8833,30.91,24,98,5.67,SD,1682474424
203,chonchi,-42.6128,-73.8092,10.62,99,99,0.72,CL,1682474388
204,tazovsky,67.4667,78.7,-10.84,95,68,2.89,RU,1682474394
205,karasburg,-28.0167,18.75,19.41,37,0,4.05,NA,1682474572
206,weno,7.4515,151.8468,26.97,89,100,5.66,FM,1682474457
207,udachny,66.4167,112.4,-3.08,79,100,4.66,RU,1682474392
208,jamestown,42.097,-79.2353,5.29,83,100,2.06,US,1682474274
209,whitehorse,60.7161,-135.0538,5.43,35,75,7.15,CA,1682474135
210,amga,60.8953,131.9608,1.61,84,97,2.51,RU,1682474514
211,pangoa,-12.1167,-73.0,19.46,99,100,0.7,PE,1682474572
212,reyes,-14.3167,-67.3833,24.14,88,90,0.4,BO,1682474573
213,stanley,54.868,-1.6985,3.2,83,75,1.03,GB,1682474388
214,barretos,-20.5572,-48.5678,20.12,79,48,2.92,BR,1682474573
215,musoma,-1.5,33.8,21.01,88,75,0.0,TZ,1682474573
216,dalandzadgad,43.5708,104.425,12.15,24,91,12.71,MN,1682474573
217,college,64.8569,-147.8028,3.99,46,40,4.63,US,1682474402
218,kununurra,-15.7667,128.7333,32.99,52,97,3.09,AU,1682474573
219,cameta,-2.2444,-49.4958,24.41,90,91,1.57,BR,1682474573
220,mili,6.0815,171.735,27.07,81,100,5.65,MH,1682474511
221,gizo,-8.103,156.8419,29.04,71,64,1.31,SB,1682474573
222,canavieiras,-15.675,-38.9472,22.67,93,17,1.39,BR,1682474438
223,krasnokholmskiy,55.9873,55.0466,13.9,57,100,5.12,RU,1682474574
224,meulaboh,4.1363,96.1285,27.43,80,100,0.95,ID,1682474574
225,slaton,33.4373,-101.6435,20.84,50,1,4.05,US,1682474574
226,igarka,67.4667,86.5833,-2.61,95,100,5.57,RU,1682474574
227,shangmei,27.7428,111.2956,19.22,62,8,0.85,CN,1682474574
228,gisborne,-38.6533,178.0042,20.5,49,100,2.48,NZ,1682474574
229,port sudan,19.6175,37.2164,25.49,68,1,2.43,SD,1682474509
230,polyarnyy,69.1989,33.4478,-7.54,90,77,2.23,RU,1682474513
231,yeed,4.55,43.0333,22.81,90,100,4.76,SO,1682474575
232,mazamari,-11.3258,-74.5308,21.07,97,100,0.7,PE,1682474575
233,queenstown,-31.8976,26.8753,11.27,90,6,0.94,ZA,1682474446
234,turtas,58.9417,69.1325,8.15,89,34,2.13,RU,1682474575
235,ust-nera,64.5667,143.2,-1.9,81,38,1.59,RU,1682474430
236,tchaourou,8.8865,2.5975,25.16,81,100,4.05,BJ,1682474575
237,puerto francisco de orellana,-0.4667,-76.9667,21.74,99,47,0.32,EC,1682474575
238,klyuchi,52.2667,79.1667,11.58,55,73,4.82,RU,1682474442
239,novyy turtkul',41.55,61.0167,13.95,26,45,7.29,UZ,1682474575
240,tolanaro,-25.0319,46.9987,19.04,77,20,2.06,MG,1682474393
241,mikhaylovskoye,51.8239,79.7172,11.4,57,71,4.28,RU,1682474576
242,wad medani,14.4012,33.5199,30.54,33,97,3.23,SD,1682474576
243,afaahiti,-17.75,-149.2833,27.81,83,100,5.46,PF,1682474397
244,usinsk,65.9939,57.5281,-5.65,94,15,3.39,RU,1682474502
245,sol'-iletsk,51.1631,54.9918,15.4,39,100,8.1,RU,1682474576
246,hirara,24.8,125.2833,20.92,83,75,10.29,JP,1682474398
247,benton harbor,42.1167,-86.4542,4.36,76,20,0.45,US,1682474408
248,kirkland lake,48.1446,-80.0377,1.16,93,100,1.54,CA,1682474576
249,toliara,-23.35,43.6667,18.83,84,0,5.34,MG,1682474576
250,vadso,70.0744,29.7487,-3.51,86,100,1.54,NO,1682474399
251,kapa'a,22.0752,-159.319,27.99,70,25,1.79,US,1682474440
252,ugoofaaru,5.6667,73.0,28.61,72,76,3.93,MV,1682474106
253,san-pedro,4.7485,-6.6363,26.7,85,100,3.18,CI,1682474577
254,ancud,-41.8697,-73.8203,11.5,96,95,1.02,CL,1682474453
255,beau vallon,-20.4189,57.6953,24.56,88,75,2.57,MU,1682474577
256,khandyga,62.6667,135.6,2.64,83,89,1.66,RU,1682474577
257,prado,-17.3411,-39.2208,23.15,91,0,0.87,BR,1682474577
258,mpanda,-6.3655,31.0409,17.68,97,0,0.32,TZ,1682474577
259,port isabel,26.0734,-97.2086,23.9,89,1,1.34,US,1682474577
260,bac lieu,9.285,105.7244,32.1,51,100,5.91,VN,1682474577
261,crane,31.3974,-102.3501,23.88,27,8,7.51,US,1682474508
262,lompoc,34.6391,-120.4579,19.08,86,100,3.09,US,1682474397
263,ixtapa,20.7,-105.2,21.83,68,100,0.64,MX,1682474578
264,qarauyl,48.9451,79.255,10.58,57,0,3.07,KZ,1682474578
265,luanco,43.6152,-5.7934,16.83,95,100,1.11,ES,1682474578
266,fort mcmurray,56.7268,-111.381,10.77,46,75,4.63,CA,1682474293
267,deqen,29.9618,90.7188,3.03,51,4,1.26,CN,1682474578
268,saint-pierre,-21.3393,55.4781,24.76,83,100,2.06,RE,1682474390
269,al ghayzah,16.2079,52.176,26.83,75,5,1.89,YE,1682474578
270,tanout,14.9709,8.8879,28.45,14,7,0.87,NE,1682474429
271,dolbeau-mistassini,48.8763,-72.212,6.26,93,100,3.35,CA,1682474578
272,luderitz,-26.6481,15.1594,16.51,81,0,4.31,NA,1682474459
273,marat,25.0701,45.4615,21.4,56,54,0.69,SA,1682474579
274,rawson,-43.3002,-65.1023,14.12,82,100,4.35,AR,1682474426
275,kayes,14.0,-11.0,32.66,13,5,2.3,ML,1682474579
276,keflavik,64.0049,-22.5624,2.95,87,75,5.66,IS,1682474388
277,cockburn town,21.4612,-71.1419,25.49,77,72,5.12,TC,1682474381
278,mont-dore,-22.2833,166.5833,26.99,99,100,0.64,NC,1682474579
279,tangalle,6.024,80.7911,25.09,84,93,1.43,LK,1682474378
280,savanna-la-mar,18.219,-78.1332,26.97,78,69,1.3,JM,1682474579
281,kuanda,56.3161,116.0806,2.01,39,77,0.88,RU,1682474579
282,pemangkat,1.1667,108.9667,28.41,73,97,0.39,ID,1682474579
283,san ignacio,17.1561,-89.0714,32.08,55,20,3.09,BZ,1682474580
284,kuching,1.55,110.3333,30.68,70,20,1.03,MY,1682474580
285,brotas,-22.2842,-48.1267,17.54,81,27,1.14,BR,1682474565
286,lokomotivnyy,53.0118,60.5684,12.45,49,100,3.58,RU,1682474580
287,qarqin,37.4185,66.0436,22.98,29,0,2.09,AF,1682474580
288,al jawf,29.5,38.75,18.23,20,0,3.22,SA,1682474505
289,cafayate,-26.073,-65.9761,16.27,64,4,1.58,AR,1682474580
290,altai,46.3722,96.2583,-2.37,47,77,3.28,MN,1682474580
291,geraldton,-28.7667,114.6,21.23,56,75,8.23,AU,1682474580
292,luwuk,-0.9516,122.7875,30.04,70,92,1.26,ID,1682474580
293,verkhnevilyuysk,63.4453,120.3167,-0.28,94,100,2.61,RU,1682474581
294,la ronge,55.1001,-105.2842,5.12,75,100,5.66,CA,1682474507
295,greenville,35.6127,-77.3663,16.09,63,75,2.57,US,1682474449
296,palikir - national government center,6.9248,158.1611,27.77,77,17,5.47,FM,1682474435
297,kiunga,-6.1219,141.2906,31.24,68,88,0.78,PG,1682474395
298,weligama,5.9667,80.4167,26.84,82,94,1.73,LK,1682474581
299,avarua,-21.2078,-159.775,27.03,69,20,4.12,CK,1682474393
300,coquimbo,-29.9533,-71.3436,14.85,94,100,1.54,CL,1682474453
301,puerto ayacucho,5.6639,-67.6236,23.18,94,100,0.57,VE,1682474581
302,ketchikan,55.3422,-131.6461,7.99,89,100,4.7,US,1682474453
303,pocatello,42.8713,-112.4455,9.15,54,48,4.47,US,1682474582
304,mejit,10.2753,170.8646,27.13,79,97,9.0,MH,1682474582
305,karratha,-20.7377,116.8463,28.49,37,88,2.12,AU,1682474386
306,olonkinbyen,70.9221,-8.7187,-3.6,69,100,5.62,SJ,1682474185
307,barda,40.3744,47.1267,12.88,83,34,1.52,AZ,1682474583
308,broome,42.2506,-75.833,5.86,76,52,0.45,US,1682474583
309,pandan,14.0453,124.1694,28.9,67,30,4.17,PH,1682474583
310,port lincoln,-34.7333,135.8667,23.9,46,100,8.77,AU,1682474384
311,mishkino,55.3389,63.9175,12.7,51,100,2.14,RU,1682474583
312,ende,-8.8432,121.6623,28.08,81,92,2.36,ID,1682474584
313,shizunai-furukawacho,42.3339,142.3669,7.9,97,100,10.04,JP,1682474584
314,wenchang,30.904,118.4887,18.57,60,1,0.97,CN,1682474584
315,hingorja,27.2109,68.416,30.31,13,100,1.89,PK,1682474584
316,chelsea,51.4875,-0.1694,6.03,86,100,2.57,GB,1682474585
317,cradock,-32.1642,25.6192,13.23,88,2,0.46,ZA,1682474585
318,kavakli,41.0926,28.3317,12.81,90,100,1.22,TR,1682474585
319,manaure,11.7751,-72.4445,27.0,72,6,6.57,CO,1682474586
320,utraula,27.3167,82.4167,27.57,24,99,0.45,IN,1682474586
321,conceicao do mato dentro,-19.0372,-43.425,16.9,94,5,0.54,BR,1682474471
322,itoman,26.1247,127.6694,21.01,78,75,8.75,JP,1682474587
323,takanabe,32.1333,131.5,17.94,75,100,2.07,JP,1682474587
324,maltby,53.4167,-1.2,4.34,84,100,2.01,GB,1682474587
325,aykhal,66.0,111.5,-6.14,89,100,4.52,RU,1682474425
326,hadibu,12.65,54.0333,27.04,75,4,3.05,YE,1682474400
327,enewetak,11.3474,162.3373,26.97,81,89,9.21,MH,1682474450
328,freetown,8.484,-13.2299,26.72,85,100,2.03,SL,1682474519
329,itaituba,-4.2761,-55.9836,24.54,91,100,0.74,BR,1682474519
330,pacific grove,36.6177,-121.9166,17.97,77,0,2.57,US,1682474341
331,gaigeturi,33.4644,126.3183,15.03,63,20,4.63,KR,1682474588
332,fasa,28.9383,53.6482,10.58,58,0,2.06,IR,1682474589
333,perbaungan,3.5679,98.956,29.06,75,100,1.68,ID,1682474589
334,beacon square,28.2086,-82.7554,24.45,78,0,1.34,US,1682474589
335,aoulef,26.9667,1.0833,26.26,19,0,5.48,DZ,1682474453
336,chui,-33.6971,-53.4616,18.41,91,100,2.33,UY,1682474590
